content_id,genre_id
1,35
1,53
1,18
2,18
2,10749
3,53
3,9648
4,53
4,18
4,10749
5,80
5,18
5,53
6,35
6,80
6,53
7,28
7,9648
7,53
7,878
8,53
8,28
8,18
9,53
9,18
9,10749
10,28
10,878
10,18
11,27
11,9648
12,878
12,12
12,18
13,53
13,27
14,28
14,53
14,27
14,80
15,18
15,36
15,80
16,18
17,53
17,9648
17,10749
18,10749
18,18
19,10749
19,18
19,35
20,9648
20,27
20,53
21,27
21,28
21,53
21,12
22,10749
22,18
23,27
23,18
23,878
24,18
25,9648
25,18
25,53
26,28
26,12
26,14
27,28
27,12
27,18
27,14
27,53
28,10749
28,18
28,35
29,28
29,12
29,53
30,28
30,27
30,878
31,28
31,80
31,53
32,35
32,10402
33,35
33,28
34,28
34,53
35,18
36,28
36,18
36,36
37,53
37,9648
37,80
38,80
38,53
38,28
39,28
39,12
39,14
39,53
40,28
40,14
40,27
40,53
41,878
41,28
41,14
41,12
42,18
42,53
43,28
43,53
43,80
44,80
44,18
44,9648
45,10749
45,18
45,35
46,28
46,18
46,53
47,28
47,80
47,53
48,80
48,18
48,28
49,28
49,12
49,53
50,18
50,14
50,878
51,10749
51,18
52,18
52,10752
53,18
53,53
53,28
53,10752
53,36
53,80
54,27
54,9648
55,18
55,28
55,36
56,28
56,35
56,80
56,18
57,18
57,53
57,9648
58,53
58,28
58,27
58,878
58,12
59,18
59,10749
60,18
60,10749
61,18
62,28
62,878
62,53
63,53
63,35
63,36
64,53
64,80
64,18
64,28
65,53
65,9648
65,878
66,28
66,53
66,80
67,53
67,28
68,35
68,18
69,18
69,53
69,80
70,27
70,53
71,28
71,80
71,53
72,27
72,53
73,10752
73,28
73,18
73,36
74,18
75,53
75,18
76,28
76,9648
76,18
77,18
77,10749
77,80
78,28
78,12
78,35
78,14
79,10749
79,35
80,28
80,35
80,80
81,16
81,14
81,28
82,28
82,18
82,53
83,35
83,10749
84,18
84,14
84,53
85,53
85,80
85,9648
86,28
86,36
86,27
87,18
87,36
87,53
88,10749
88,35
89,80
89,28
89,35
89,18
89,53
90,28
90,18
90,53
90,80
91,10752
91,28
91,53
91,18
91,36
92,18
92,35
92,10749
93,80
93,28
93,53
93,35
94,18
95,28
95,53
96,28
96,80
96,53
97,28
97,80
97,9648
98,10749
98,18
99,99
99,10402
100,18
100,27
100,53
101,35
101,10749
102,80
102,18
103,16
103,10749
103,878
103,18
104,53
104,80
104,9648
105,10752
105,36
105,28
106,10749
106,18
107,80
107,53
108,10402
108,99
109,35
109,18
110,80
110,28
110,53
111,10749
112,28
112,12
112,35
112,14
113,80
113,53
113,28
114,28
114,14
114,12
114,878
115,28
115,18
115,36
116,10752
116,28
116,36
116,18
117,28
117,12
117,35
117,37
118,28
118,80
118,35
119,80
119,28
119,18
120,28
120,53
120,18
121,28
121,53
121,18
121,36
122,14
122,35
122,28
123,18
123,10749
124,80
124,28
124,53
125,28
125,80
126,80
126,28
126,53
127,878
127,28
127,12
127,18
128,28
128,18
128,53
129,80
129,18
130,36
130,18
130,10752
130,28
