title,content_type,genre_ids,release_date,vote_average,vote_count,popularity,tmdb_id
타짜: 신의 손,영화,"[80, 18]",2014-09-03,6.932,103,4.1293,290865
이 별에 필요한,영화,"[16, 10749, 878, 18]",2025-05-30,7.4,166,4.191,1165642
계시록,영화,"[53, 80, 9648]",2025-03-20,6.366,213,4.6628,1210938
안시성,영화,"[10752, 36, 28]",2018-09-19,6.737,196,4.33,535389
오직 그대만,영화,"[10749, 18]",2011-10-20,7.806,317,4.0365,86000
널 기다리며,영화,"[80, 53]",2016-03-10,7.175,83,4.0177,390433
BTS 컴백 라이브: ARIRANG,영화,"[10402, 99]",2026-03-21,8.8,114,3.9991,1628123
싱크홀,영화,"[35, 18]",2021-08-11,6.907,167,4.3757,623135
협상,영화,"[80, 28, 53]",2018-09-19,7.073,165,3.8615,542836
여교사: 제자와의 사랑,영화,[10749],2018-08-02,5.7,3,4.017,538338
해적: 바다로 간 산적,영화,"[28, 12, 35, 14]",2014-08-06,7.023,242,4.6188,285213
낙원의 밤,영화,"[80, 53, 28]",2020-09-03,6.928,311,5.3404,606523
외계+인 2부,영화,"[28, 14, 12, 878]",2024-01-10,6.693,867,4.1688,626412
"전,란",영화,"[28, 18, 36]",2024-10-02,7,213,4.0548,1075676
노량: 죽음의 바다,영화,"[10752, 28, 36, 18]",2023-12-20,6.369,165,4.714,660360
"좋은 놈, 나쁜 놈, 이상한 놈",영화,"[28, 12, 35, 37]",2008-07-16,7.152,839,4.0566,15067
서울대작전,영화,"[28, 80, 35]",2022-08-26,6.5,179,4.2067,773867
다만 악에서 구하소서,영화,"[80, 28, 18]",2020-08-05,6.864,242,4.2876,581526
귀공자,영화,"[28, 53, 18]",2023-06-21,7.2,197,4.4423,1057001
암살,영화,"[28, 53, 18, 36]",2015-07-22,7.294,286,3.967,291549
내안의 그놈,영화,"[14, 35, 28]",2019-01-09,7.8,155,4.3082,560527
미인도,영화,"[18, 10749]",2008-11-13,6.2,40,3.9715,60192
감시자들,영화,"[80, 28, 53]",2013-07-03,7.527,384,4.1157,204553
도둑들,영화,"[28, 80]",2012-07-25,6.727,339,3.9492,124157
독전,영화,"[80, 28, 53]",2018-05-22,7.2,194,3.8042,518963
정이,영화,"[878, 28, 12, 18]",2023-01-12,6.093,693,4.0112,843794
탈주,영화,"[28, 18, 53]",2024-07-03,7.25,86,3.9539,921436
해바라기,영화,"[80, 18]",2006-11-23,6.912,57,3.7681,49283
